id;block;typ;stt;de;suchvarianten;en;ru;fa;fa_vokal;k_en;k_ru;k_fa;anmerkung
A001;A;hart;0;1. Mose;ersten Buch Mose|erster Buch Mose|erstes Buch Mose|erstem Buch Mose|erste Buch Mose|1. Mose|Genesis|1 Mose;Genesis;Бытие;پیدایش;;3;3;3;RU/EN/FA nutzen Genesis-Namen, DE die Mose-Zaehlung. Reine Nummernuebersetzung ist falsch.
A002;A;hart;0;2. Mose;zweiten Buch Mose|zweiter Buch Mose|zweites Buch Mose|zweitem Buch Mose|zweite Buch Mose|2. Mose|2 Mose|Exodus;Exodus;Исход;خروج;;3;3;3;
A003;A;hart;0;3. Mose;dritten Buch Mose|dritter Buch Mose|drittes Buch Mose|drittem Buch Mose|dritte Buch Mose|Levitikus|3. Mose|3 Mose;Leviticus;Левит;لاویان;;3;3;3;
A004;A;hart;0;4. Mose;vierten Buch Mose|vierter Buch Mose|viertes Buch Mose|viertem Buch Mose|vierte Buch Mose|4. Mose|4 Mose|Numeri;Numbers;Числа;اعداد;;3;3;3;
A005;A;hart;0;5. Mose;fünften Buch Mose|fünfter Buch Mose|fünftes Buch Mose|fünftem Buch Mose|fünfte Buch Mose|Deuteronomium|5. Mose|5 Mose;Deuteronomy;Второзаконие;تثنیه;;3;3;3;
A006;A;hart;0;Josua;Josua;Joshua;Иисус Навин;یوشع;;3;3;3;RU-Name enthaelt Iisus. Nicht mit Jesus verwechseln lassen.
A007;A;weich;1;Richter;Buch der Richter|Richter;Judges;Судей;داوران;;3;3;3;WEICH: Richter ist im Deutschen doppeldeutig. Nur bei Stellenangabe erzwingen.
A008;A;hart;0;Ruth;Ruth|Rut;Ruth;Руфь;روت;;3;3;3;
A009;A;hart;0;1. Samuel;ersten Buch Samuel|erster Buch Samuel|erstes Buch Samuel|erstem Buch Samuel|erste Buch Samuel|1. Samuel|1 Samuel;1 Samuel;1-я Царств;اول سموئیل;;3;3;3;FALLSTRICK RU: Samuel und Koenige werden als 1-4 Zarstv gezaehlt. 1. Samuel = 1-ja Zarstv.
A010;A;hart;0;2. Samuel;zweiten Buch Samuel|zweiter Buch Samuel|zweites Buch Samuel|zweitem Buch Samuel|zweite Buch Samuel|2. Samuel|2 Samuel;2 Samuel;2-я Царств;دوم سموئیل;;3;3;3;FALLSTRICK RU: 2. Samuel = 2-ja Zarstv.
A011;A;hart;0;1. Könige;ersten Buch der Könige|erster Buch der Könige|erstes Buch der Könige|erstem Buch der Könige|erste Buch der Könige|1. Könige|1 Könige;1 Kings;3-я Царств;اول پادشاهان;;3;3;3;FALLSTRICK RU: 1. Koenige = 3-ja Zarstv, NICHT 1-ja. Haeufigster Bibelstellenfehler.
A012;A;hart;0;2. Könige;zweiten Buch der Könige|zweiter Buch der Könige|zweites Buch der Könige|zweitem Buch der Könige|zweite Buch der Könige|2. Könige|2 Könige;2 Kings;4-я Царств;دوم پادشاهان;;3;3;3;FALLSTRICK RU: 2. Koenige = 4-ja Zarstv.
A013;A;hart;1;1. Chronik;1. Chronik|1 Chronik;1 Chronicles;1-я Паралипоменон;اول تواریخ;;3;3;3;
A014;A;hart;1;2. Chronik;2. Chronik|2 Chronik;2 Chronicles;2-я Паралипоменон;دوم تواریخ;;3;3;3;
A015;A;hart;1;Esra;Esra;Ezra;Ездра;عزرا;;3;3;3;
A016;A;hart;1;Nehemia;Nehemia;Nehemiah;Неемия;نحمیا;;3;3;3;
A017;A;hart;0;Esther;Esther|Ester;Esther;Есфирь;استر;;3;3;3;
A018;A;hart;0;Hiob;Hiob|Ijob;Job;Иов;ایوب;;3;3;3;
A019;A;hart;0;Psalmen;Psalmen|Psalter|Psalm;Psalms;Псалтирь;مزامیر;;3;3;3;RU: Buch = Psaltir, Einzelpsalm = Psalom.
A020;A;weich;1;Sprüche;Buch der Sprüche|Sprichwörter|Sprüche;Proverbs;Притчи;امثال;;3;3;3;WEICH: RU Pritchi heisst zugleich Gleichnisse. Siehe C072.
A021;A;weich;1;Prediger;Prediger|Kohelet;Ecclesiastes;Екклесиаст;جامعه;;3;3;3;WEICH: Prediger ist im Deutschen doppeldeutig (Buch vs. Person). Siehe D028.
A022;A;hart;1;Hohelied;Hoheslied|Hohelied;Song of Songs;Песнь Песней;غزل غزلها;;3;3;3;
A023;A;hart;0;Jesaja;Jesaja;Isaiah;Исаия;اشعیا;;3;3;3;
A024;A;hart;0;Jeremia;Jeremia;Jeremiah;Иеремия;ارمیا;;3;3;3;
A025;A;hart;1;Klagelieder;Klagelieder;Lamentations;Плач Иеремии;مراثی ارمیا;;3;3;3;
A026;A;hart;1;Hesekiel;Hesekiel|Ezechiel;Ezekiel;Иезекииль;حزقیال;;3;3;3;Schlachter 2000 schreibt Hesekiel, katholisch Ezechiel.
A027;A;hart;0;Daniel;Daniel;Daniel;Даниил;دانیال;;3;3;3;
A028;A;hart;1;Hosea;Hosea;Hosea;Осия;هوشع;;3;3;3;
A029;A;hart;1;Joel;Joel;Joel;Иоиль;یوئیل;;3;3;3;
A030;A;hart;1;Amos;Amos;Amos;Амос;عاموس;;3;3;3;
A031;A;hart;1;Obadja;Obadja;Obadiah;Авдий;عوبدیا;;3;3;3;
A032;A;hart;0;Jona;Jona;Jonah;Иона;یونس;;3;3;3;FA Yunes ist zugleich der islamische Name. Unproblematisch, aber bewusst.
A033;A;hart;1;Micha;Micha;Micah;Михей;میکاه;;3;3;3;
A034;A;hart;1;Nahum;Nahum;Nahum;Наум;ناحوم;;3;3;3;
