id;block;typ;stt;de;suchvarianten;en;ru;fa;fa_vokal;k_en;k_ru;k_fa;anmerkung;es;k_es;pt;k_pt;hr;k_hr;fr;k_fr
A001;A;hart;0;1. Mose;ersten Buch Mose|erster Buch Mose|erstes Buch Mose|erstem Buch Mose|erste Buch Mose|1. Mose|Genesis|1 Mose;Genesis;Бытие;پیدایش;;3;3;3;RU/EN/FA nutzen Genesis-Namen, DE die Mose-Zaehlung. Reine Nummernuebersetzung ist falsch.;Génesis;3;Gênesis;3;Postup;3;Genèse;3
A002;A;hart;0;2. Mose;zweiten Buch Mose|zweiter Buch Mose|zweites Buch Mose|zweitem Buch Mose|zweite Buch Mose|2. Mose|2 Mose|Exodus;Exodus;Исход;خروج;;3;3;3;;Éxodo;3;Êxodo;3;Izlaz;3;Exode;3
A003;A;hart;0;3. Mose;dritten Buch Mose|dritter Buch Mose|drittes Buch Mose|drittem Buch Mose|dritte Buch Mose|Levitikus|3. Mose|3 Mose;Leviticus;Левит;لاویان;;3;3;3;;Levítico;3;Levítico;3;Levitika;3;Lévitique;3
A004;A;hart;0;4. Mose;vierten Buch Mose|vierter Buch Mose|viertes Buch Mose|viertem Buch Mose|vierte Buch Mose|4. Mose|4 Mose|Numeri;Numbers;Числа;اعداد;;3;3;3;;Números;3;Números;3;Brojevi;3;Nombres;3
A005;A;hart;0;5. Mose;fünften Buch Mose|fünfter Buch Mose|fünftes Buch Mose|fünftem Buch Mose|fünfte Buch Mose|Deuteronomium|5. Mose|5 Mose;Deuteronomy;Второзаконие;تثنیه;;3;3;3;;Deuteronomio;3;Deuteronômio;3;Ponavijesti;3;Deutéronome;3
A006;A;hart;0;Josua;Josua;Joshua;Иисус Навин;یوشع;;3;3;3;RU-Name enthaelt Iisus. Nicht mit Jesus verwechseln lassen.;Josué;3;Josué;3;Josua;3;Josué;3
A007;A;weich;1;Richter;Buch der Richter|Richter;Judges;Судей;داوران;;3;3;3;WEICH: Richter ist im Deutschen doppeldeutig. Nur bei Stellenangabe erzwingen.;Jueces;3;Juízes;3;Sudije;3;Juges;3
A008;A;hart;0;Ruth;Ruth|Rut;Ruth;Руфь;روت;;3;3;3;;Rut;3;Rute;3;Rut;3;Ruth;3
A009;A;hart;0;1. Samuel;ersten Buch Samuel|erster Buch Samuel|erstes Buch Samuel|erstem Buch Samuel|erste Buch Samuel|1. Samuel|1 Samuel;1 Samuel;1-я Царств;اول سموئیل;;3;3;3;FALLSTRICK RU: Samuel und Koenige werden als 1-4 Zarstv gezaehlt. 1. Samuel = 1-ja Zarstv.;1 Samuel;3;1 Samuel;3;1. Samuil;3;1 Samuel;3
A010;A;hart;0;2. Samuel;zweiten Buch Samuel|zweiter Buch Samuel|zweites Buch Samuel|zweitem Buch Samuel|zweite Buch Samuel|2. Samuel|2 Samuel;2 Samuel;2-я Царств;دوم سموئیل;;3;3;3;FALLSTRICK RU: 2. Samuel = 2-ja Zarstv.;2 Samuel;3;2 Samuel;3;2. Samuil;3;2 Samuel;3
