de;haeufigkeit;streuung;verdacht;prompt_rang;kapitel_anzahl;kapitel
David;1678;0.07;;3;117;1. Mose 38|1. Mose 48|1. Samuel 12|1. Samuel 14|1. Samuel 15|1. Samuel 16|1. Samuel 17|1. Samuel 18|1. Samuel 2|1. Samuel 20|1. Samuel 21|1. Samuel 23|1. Samuel 25|1. Samuel 26|1. Samuel 28|1. Samuel 29|1. Samuel 31|1. Samuel 4|1. Samuel 7|1. Samuel 9|2. Mose 17|2. Mose 24|2. Samuel 1|2. Samuel 10|2. Samuel 11|2. Samuel 12|2. Samuel 13|2. Samuel 14|2. Samuel 15|2. Samuel 16|2. Samuel 18|2. Samuel 19|2. Samuel 2|2. Samuel 20|2. Samuel 21|2. Samuel 22|2. Samuel 24|2. Samuel 3|2. Samuel 4|2. Samuel 5
Ägypten;885;0.2;;3;177;1. Mose 1|1. Mose 10|1. Mose 12|1. Mose 14|1. Mose 15|1. Mose 20|1. Mose 21|1. Mose 24|1. Mose 25|1. Mose 37|1. Mose 38|1. Mose 40|1. Mose 41|1. Mose 42|1. Mose 43|1. Mose 44|1. Mose 45|1. Mose 47|1. Mose 50|1. Mose 8|1. Samuel 10|1. Samuel 12|1. Samuel 14|1. Samuel 2|1. Samuel 28|1. Samuel 31|1. Samuel 6|1. Samuel 7|1. Samuel 9|2. Mose 1|2. Mose 10|2. Mose 12|2. Mose 13|2. Mose 16|2. Mose 17|2. Mose 19|2. Mose 23|2. Mose 24|2. Mose 29|2. Mose 3
Jerusalem;869;0.23;;3;198;1. Mose 12|1. Mose 14|1. Mose 21|1. Mose 28|1. Mose 34|1. Mose 8|1. Mose 9|1. Samuel 1|1. Samuel 10|1. Samuel 12|1. Samuel 15|1. Samuel 17|1. Samuel 2|1. Samuel 21|1. Samuel 23|1. Samuel 25|1. Samuel 29|1. Samuel 31|1. Samuel 4|1. Samuel 6|1. Samuel 7|2. Samuel 10|2. Samuel 11|2. Samuel 12|2. Samuel 13|2. Samuel 14|2. Samuel 15|2. Samuel 16|2. Samuel 18|2. Samuel 19|2. Samuel 20|2. Samuel 21|2. Samuel 24|2. Samuel 3|2. Samuel 4|2. Samuel 5|2. Samuel 8|3. Mose 16|3. Mose 22|3. Mose 9
Saul;777;0.06;;3;43;1. Mose 37|1. Mose 45|1. Mose 8|1. Samuel 10|1. Samuel 12|1. Samuel 14|1. Samuel 15|1. Samuel 16|1. Samuel 17|1. Samuel 18|1. Samuel 2|1. Samuel 20|1. Samuel 21|1. Samuel 23|1. Samuel 25|1. Samuel 26|1. Samuel 28|1. Samuel 29|1. Samuel 31|1. Samuel 7|1. Samuel 9|2. Mose 17|2. Mose 6|2. Samuel 1|2. Samuel 12|2. Samuel 14|2. Samuel 16|2. Samuel 2|2. Samuel 21|2. Samuel 3|2. Samuel 4|2. Samuel 7|2. Samuel 8|4. Mose 26|Jeremia 17|Jeremia 24|Jesaja 8|Psalmen 110|Psalmen 40|Psalmen 51
Aaron;445;0.16;;3;69;1. Samuel 12|1. Samuel 2|2. Mose 10|2. Mose 12|2. Mose 13|2. Mose 15|2. Mose 16|2. Mose 17|2. Mose 19|2. Mose 24|2. Mose 27|2. Mose 28|2. Mose 29|2. Mose 31|2. Mose 32|2. Mose 34|2. Mose 38|2. Mose 39|2. Mose 4|2. Mose 40|2. Mose 6|2. Mose 7|2. Mose 8|2. Mose 9|2. Samuel 8|3. Mose 1|3. Mose 11|3. Mose 13|3. Mose 15|3. Mose 16|3. Mose 17|3. Mose 20|3. Mose 23|3. Mose 3|3. Mose 6|3. Mose 7|3. Mose 8|3. Mose 9|4. Mose 1|4. Mose 13
Abraham;368;0.21;;3;77;1. Mose 1|1. Mose 10|1. Mose 11|1. Mose 12|1. Mose 17|1. Mose 18|1. Mose 19|1. Mose 20|1. Mose 21|1. Mose 23|1. Mose 24|1. Mose 25|1. Mose 27|1. Mose 28|1. Mose 29|1. Mose 31|1. Mose 34|1. Mose 35|1. Mose 45|1. Mose 47|1. Mose 49|1. Mose 50|1. Mose 8|1. Mose 9|1. Samuel 31|2. Mose 12|2. Mose 15|2. Mose 3|2. Mose 31|2. Mose 32|2. Mose 33|2. Mose 4|2. Mose 6|3. Mose 26|3. Mose 27|4. Mose 1|4. Mose 13|4. Mose 32|5. Mose 1|5. Mose 12
Joseph;356;0.12;;3;43;1. Mose 12|1. Mose 30|1. Mose 34|1. Mose 37|1. Mose 38|1. Mose 40|1. Mose 41|1. Mose 42|1. Mose 43|1. Mose 44|1. Mose 45|1. Mose 47|1. Mose 48|1. Mose 49|1. Mose 50|1. Samuel 16|1. Samuel 31|2. Mose 1|2. Mose 12|2. Samuel 19|3. Mose 1|3. Mose 13|3. Mose 26|4. Mose 13|5. Mose 26|5. Mose 33|Haggai 1|Haggai 2|Hesekiel 37|Hesekiel 47|Jeremia 23|Jesaja 54|Josua 1|Josua 16|Josua 17|Josua 19|Josua 24|Nehemia 11|Psalmen 79|Psalmen 82
Babel;266;0.18;;3;47;1. Mose 10|1. Mose 11|1. Mose 9|Hesekiel 12|Hesekiel 16|Hesekiel 18|Hesekiel 20|Hesekiel 21|Hesekiel 23|Hesekiel 26|Hesekiel 29|Hesekiel 30|Hesekiel 32|Jeremia 19|Jeremia 21|Jeremia 23|Jeremia 24|Jeremia 26|Jeremia 28|Jeremia 30|Jeremia 31|Jeremia 32|Jeremia 34|Jeremia 36|Jeremia 37|Jeremia 39|Jeremia 41|Jeremia 44|Jeremia 46|Jeremia 49|Jeremia 50|Jeremia 51|Jeremia 52|Jesaja 11|Jesaja 13|Jesaja 14|Jesaja 16|Jesaja 21|Jesaja 23|Jesaja 40
Babylon;254;0.3;;3;76;1. Mose 1|1. Mose 11|1. Mose 14|1. Mose 2|1. Mose 40|1. Mose 9|5. Mose 28|5. Mose 4|Habakuk 2|Haggai 1|Hesekiel 1|Hesekiel 10|Hesekiel 12|Hesekiel 14|Hesekiel 16|Hesekiel 20|Hesekiel 21|Hesekiel 22|Hesekiel 24|Hesekiel 26|Hesekiel 27|Hesekiel 29|Hesekiel 36|Hesekiel 37|Hesekiel 8|Hiob 38|Jeremia 1|Jeremia 12|Jeremia 13|Jeremia 15|Jeremia 17|Jeremia 19|Jeremia 23|Jeremia 28|Jeremia 3|Jeremia 30|Jeremia 31|Jeremia 32|Jeremia 34|Jeremia 36
Kanaan;230;0.35;;3;81;1. Mose 10|1. Mose 12|1. Mose 14|1. Mose 15|1. Mose 17|1. Mose 20|1. Mose 23|1. Mose 24|1. Mose 25|1. Mose 28|1. Mose 30|1. Mose 31|1. Mose 32|1. Mose 34|1. Mose 35|1. Mose 37|1. Mose 40|1. Mose 41|1. Mose 42|1. Mose 44|1. Mose 45|1. Mose 47|1. Mose 48|1. Mose 49|1. Mose 50|1. Mose 8|1. Mose 9|2. Mose 12|2. Mose 13|2. Mose 15|2. Mose 17|2. Mose 23|2. Mose 24|2. Mose 31|2. Mose 4|2. Mose 6|3. Mose 15|3. Mose 17|3. Mose 25|3. Mose 26
