id;kategorie;satz;kontext;prueffokus
P01;predigt;Dadurch hatte ich einen Hauskreis und ich habe mich mit Jesaja beschäftigt.;Dann habe ich hier angefangen und hatte einen Mitbewohner, der liebe Michael Wiebe. Der hatte einen Hauskreis.;Hauskreis, Jesaja
P02;predigt;Und ja, dann hatte ich quasi auf diese Weise mir überlegt, dass ich mein Studium auf jeden Fall weitermachen möchte.;Ich erzähle das jetzt einfach mal so. Wir sitzen ja hier in kleiner Runde.;Weisheit
P03;predigt;Aber ich glaube, dass es etwas gibt wie ein Schmetterlingseffekt in vielen Gegebenheiten, die wir als solche auf der Welt kennenlernen.;Es wird gesagt, dass ein Schmetterlingsschlag in Brasilien ein Tornado in Texas auslösen kann. Also, das ist nicht ganz so einfach.;Glaube
P04;predigt;Ich denke daran, wie du die Schöpfung geschaffen hast, all das, was auf Erden ist, all das Schöne.;Ich bitte dich, durch mich zu sprechen, dass ich sage, was du möchtest, dass ich sage, wie du es für richtig hältst. Außerdem, Vater, möchte ich dir danken für diesen herrlichen Tag, für diesen Sabbat-Tag.;Schöpfung
P05;predigt;Und interessant ist das, das heißt so viel wie siehe, wie schön, wie lieblich ist es, wenn Brüder in Eintracht beisammen sind.;Primär ist interessant, dass es von David kommt. Und das beginnt mit den Worten Hine-Math-Hof, Wuh, und dann kommt Naim.;freie Predigtsyntax, 22 Woerter
P06;predigt;Und dann habe ich darüber nachgedacht, das von David, dessen beide Söhne, Salomo und Absalom, ich glaube, ich verwechsel die Namen, ich bin nicht gut mit Namen, es tut mir gerade leid.;David möchte wirklich mit aller Macht darauf aufmerksam machen, siehe, schaut es euch an, wie schön es ist. Wie schön es ist, wenn Brüder beisammen sind.;Glaube
P07;predigt;Dass wenn er gesehen hat, dass es nicht immer so ist, so hat er daraus gelernt, dass es wirklich schön sein kann, wenn es so ist.;Und da ist es mir aufgefallen, dass es ihm doch wirklich wichtig scheint. Und auch, wenn er das selber manchmal Schwierigkeiten hatte, das so zu erleben.;freie Predigtsyntax, 26 Woerter
P08;predigt;Und um noch jemanden zu zeigen, aufzuzeigen, bei dem das so war, kommen wir jetzt nochmal zu Jakob und dafür schlagen wir auf Genesis 32, 10, also 1.;Es ist quasi, siehe wie schön. Und ich möchte, dass ihr am Ende der Predigt und auch an sich, wenn ihr heute rauskommt, wenn ihr euch manche Sachen anseht, sei es etwas, was ihr in der Natur seht, sei es, dass ihr eure Familie seht, dass ihr eure Kinder seht, sei es, dass ihr eure Eltern seht, dass ihr eure Großeltern seht oder was oder wen auch immer, dass ihr seht und versteht, wie schön Gott das geschaffen hat.;1. Mose
P09;predigt;Ich bin zu gierig für alle Gnade und Treue, die du an deinem Knecht bewiesen hast.;Und Jakob sprach, du Gott meines Vaters Abraham und Gott meines Vaters Isaac, Herr, der du zu mir gesagt hast, kehre wieder in dein Land und zu deiner Verwandtschaft zurück. Ich will dir wohltun.;Gnade, Treue, Knecht
P10;predigt;Aber dann kommt etwas weiteres, nämlich, du aber hast gesagt, ich will dir gewisslich wohltun und deinen Samen machen wie den Sand am Meer, der vor Menge nicht zu zählen ist.;Also eine Stelle, die in dem Sinne, wenn man sie erstmal an dieser Stelle nur singular liest, nicht so schön klingt, nicht so gut klingt. Und aus dieser Angst heraus, das ist quasi das, was primär kommt, betet er dann zu Gott.;freie Predigtsyntax, 31 Woerter
P11;predigt;Und auch Jakob erinnert sich an diesen Satz, an das, was Gott ihm verheißen hat, an das, was Gott ihm versprochen hat.;Das ist eine Verheißung, die hatte Abraham bekommen. Und Abraham hat damals ebenfalls Gott vertraut, dass das so eintreten wird.;Verheißung
P12;predigt;Und ich glaube, dass in diesem Moment, in dem Moment, wo er sagt, ich lasse dich nicht gehen, außer du segnest mich, er schon dort verstanden hat, mit wem er dort eigentlich zu tun hat.;Hier steht das Wort für berühren. Und aufgrund dessen ist seine Hüfte ausgerenkt.;Glaube
P13;predigt;Aber was er macht ist, in Demut zu ihm sprechen, ihn gleichzeitig festhalten und sagen, ich möchte aber dein Segen.;Er hat die Macht gespürt, die Allmacht, die hinter Gott steckt. Und so hat er eigentlich verloren und er könnte jetzt alle möglichen Reaktionen, könnte man jetzt von ihm erwarten.;Demut, Segen
P14;predigt;Ich fand das eine recht spannende Szene, denn er bekommt zwar jetzt diesen Namen, aber er bekommt nicht sofort den Segen, sondern er bekommt erst den Namen.;Und Israel, Gott, der kämpft oder er kämpft, der Gott. Und Israel von Er wird kämpfen und El von Elohim, der Gott.;Segen
P15;predigt;Es war ja irgendwie nur, wenn man dem Text so glauben mag, würde ich mal sagen, ein paar Sekunden, vielleicht eine Minute danach.;Und zwar nicht, weil, ja gut, die Reihenfolge, könnte man ja jetzt erstmal denken, ist nicht so wichtig. Es war ja kurz danach, nicht wahr?;Glaube
P16;predigt;Seele, Nefesh, das kommt von Kehle, als sie der letzte Atemzug von ihr ging, weil sie am Sterben war.;Als sie aber die Geburt so schwer wurde, sprach die Hebanne zu ihr, fürchte dich nicht, du hast auch diesmal einen Sohn. Und das geschah, als ihr die Seele entschwand.;Seele
P17;predigt;Und manchmal, wenn wir Schmerzen haben, wenn es uns schlecht geht, wenn wir leiden, das ist nicht nur in den Szenen so, dass wir ein Kind verlieren, dass wir am Sterben sind.;Und sie hat in dem Moment nicht das Schöne gesehen, sondern sie hat gesehen oder gefühlt, was uns von dem Schönen abhält. Nämlich den Schmerz.;Leiden
P18;predigt;Aber, wie schon Ellen White auch sagte, sobald wir Schmerzen haben, sobald wir schwach werden, sind wir leicht empfänglich für Satan.;Das sind Sachen, worüber wir auch Sorgen haben. Und das sind nicht immer die schlimmsten Dinge.;Ellen G. White, Satan
P19;predigt;Die Geschichte, die Jakob hier erleben durfte, wie er zu Israel wurde, und dass er jetzt der war, der für Gott kämpft, der Gott als solchen verstanden hat, ist hier zu Ende.;Hier kommt ein Moment, wo danach der Epilog eingeleitet wird. Das ist der Moment, wo quasi das Buch, oder nicht das Buch, aber dieser Anteil abgeschlossen ist.;freie Predigtsyntax, 32 Woerter
P20;predigt;Und die Geschichte von Jakob ist ja quasi nur eine Geschichte, wie sie viele in der Geschichte vorkommen, in den Geschichten vorkommen, in Genesis, in Exodus.;Und ich finde, das ist ein wichtiger Punkt, dass wir lernen, wie Jakob, wie Abraham und wie viele, viele mehr, Gott zu vertrauen. Und manchmal erleiden wir, manchmal erleben wir Leid und sehen nicht, dass daraus auch etwas Schönes werden kann, dass daraus auch etwas Gutes werden kann.;1. Mose, 2. Mose
P21;predigt;Und ich glaube, dass Jesus in vielen Parts ist, in vielen Geschichten ist und wir ihn einfach nicht sehen.;Ich habe mit Genesis gestartet und ich bin noch nicht durch. Ich kann noch viel lesen, aber ich habe als Hauptaufgabe für mich genommen, im Alten Testament Jesus zu finden.;Glaube
P22;predigt;Als aber Jesus ihren Glauben sah, da sprach er zu dem Gelähmten, Sohn, deine Sünden sind dir vergeben.;Und er verkündigte ihnen das Wort und etliche kamen zu ihm, brachten einem Gelähmten, der von vier Leuten getragen wurde. Und da sie wegen der Menge nicht zu ihm herankommen konnten, deckten sie dort, wo es war, das Dach ab und nachdem sie es aufgebrochen hatten, ließen sie das Bett herab, auf dem der Gelähmte lag.;Glaube, Sünde, Vergebung
P23;predigt;Es saßen dort aber etliche von den Schriftgelehrten, die dachten in ihrem Herzen, was redet dieser solche Lästerung?;Und es geht danach weiter, also es ist ja nicht so, als würde er es außer Acht lassen oder als hätte er das nicht gesehen. Sondern er hatte bewusst dieses Leiden nicht sofort behoben.;Schriftgelehrte
P24;predigt;Damit ihr aber wisst, dass der Sohn der Menschen Vollmacht hat, auf Erden Sünden zu vergeben, sprach er zu dem Gelähmten, ich sage dir, steh auf, nimm dein Bett und geh heim.;Und sogleich erkannte Jesus in seinem Geist, dass sie so bei sich dachten und sprach zu ihnen, warum denkt ihr dies in eurem Herzen? Was ist leichter, zu dem Gelähmten zu sagen, dir sind die Sünden vergeben oder zu sagen, steh auf, nimm dein Bett und geh umher?;Sünde, Vergebung
P25;predigt;Und das ist das, wie wir auch Jesus kennenlernen, als derjenige, der für uns da ist, der unsere Sünden nimmt, der uns rettet.;Aber eines, mit einem hat er nicht gewartet. Er hat die Sünden vergeben.;Sünde
P26;predigt;Und ich habe das erlebt, dass ich wirklich Szenen hatte, wo ich, ich habe das bei meiner Taufe schon einmal erzählt, nämlich die Geschichte von der Mutter von Miriam, seiner Freundin von Lena, davon die Mutter.;Noch bevor, noch lange bevor wir überhaupt Leiden hatten, waren wir errettet. Und das ist dieser ganz, ganz wichtige Aspekt bei Jesus, dass, wenn wir uns manchmal Sorgen machen, dass wir uns Sorgen machen um unser Geld, dass wir uns Sorgen machen um unsere Kinder, dass wir uns Sorgen machen um unser eigenes Wohlergehen, dass wir uns um unser Leben Sorgen machen, so brauchen wir uns um eines doch keine Sorgen machen, nämlich, dass Jesus für uns gestorben ist, dass er für uns da ist, dass er diese Sünden für sich aufgenommen hat und dass wir aufgrund dessen nichts fürchten müssen.;Taufe
P27;predigt;Und ich hatte darüber nachgedacht und ich hatte gerade in Jesaja gelesen, das war noch bevor ich Gott für mich anerkannt habe und angenommen habe, hatte ich in Jesaja gelesen, Gott, wir dürfen dich prüfen.;Die hat die Diagnose bekommen, dass sie schwer krank ist. Und das war so ein Moment, wo es dann hieß, okay, es ist wahrscheinlich nicht heilbar.;Jesaja
P28;predigt;Und zwei Tage später habe ich dann von Miriam eine Nachricht bekommen, dass es jetzt heilbar ist, dass sie jetzt gerettet werden kann, dass die Krankheit heilbar ist und heute geht es der Mutter gut.;Ich meine, es wäre jetzt nicht so verwunderlich, wenn etwas, was nicht heilbar ist, nicht heilbar wird. Aber ich würde dich gerne bitten und mal fragen, wenn du mir wirklich beweisen möchtest, dass du da bist, hast du jetzt eine gute Chance, beweise es mir, mach mal heile.;freie Predigtsyntax, 35 Woerter
